ID,KPI,OKR
R.KPI.1,Bed addressed,Eliminate environmental and bodily friction
R.KPI.2,Clothing addressed,Eliminate environmental and bodily friction
R.KPI.3,Cleaning addressed,Eliminate environmental and bodily friction
R.KPI.4,Order addressed,Eliminate environmental and bodily friction
R.KPI.5,Body addressed,Eliminate environmental and bodily friction
R.KPI.6,Face addressed,Eliminate environmental and bodily friction
R.KPI.7,Hair addressed,Eliminate environmental and bodily friction
R.KPI.8,Attire addressed,Eliminate environmental and bodily friction
R.KPI.9,Desk addressed,Eliminate environmental and bodily friction
R.KPI.10,Window addressed,Eliminate environmental and bodily friction
R.KPI.11,Trash addressed,Eliminate environmental and bodily friction
R.KPI.12,Posture addressed,Eliminate environmental and bodily friction
R.KPI.13,Breathing addressed,Eliminate environmental and bodily friction
R.KPI.14,Lighting addressed,Eliminate environmental and bodily friction
R.KPI.15,Oral hygiene addressed,Eliminate environmental and bodily friction
